C02RP0G1G8WM:optcarrot noah.gibbs$ RUBYOPT="-Ilib -r./tools/shim" ruby-prof bin/optcarrot -- --benchmark examples/Lan_Master.nes
fps: 1.8973563923009664
checksum: 59662
Measure Mode: wall_time
Thread ID: 70134173740700
Fiber ID: 70134178158860
Total: 100.575851
Sort by: self_time

 %self      total      self      wait     child     calls  name
  2.36     13.956     2.374     0.000    11.582      180   Optcarrot::CPU#run
  1.43      2.441     1.442     0.000     0.999  3515380  *Optcarrot::CPU#fetch
  1.42      1.428     1.428     0.000     0.000 10680452   Integer#+
  1.42      2.947     1.426     0.000     1.521   838868   Optcarrot::CPU#branch
  1.32      1.326     1.326     0.000     0.000 11084918   Array#[]
  1.00      1.810     1.008     0.000     0.801   816063   Optcarrot::CPU#zpg
  0.86      0.861     0.861     0.000     0.000  6881030   Integer#[]
  0.82      0.824     0.824     0.000     0.000  6727776   Integer#-
  0.68      1.146     0.683     0.000     0.463   804536   Optcarrot::CPU#_cmp
  0.62      0.622     0.622     0.000     0.000  4602226   Integer#<
  0.60      3.999     0.600     0.000     3.399   856086   Optcarrot::CPU#r_op
  0.53      2.773     0.530     0.000     2.244   132300   Optcarrot::APU::Mixer#sample
  0.52      0.908     0.520     0.000     0.388   132300   Optcarrot::APU::Noise#sample
  0.49      0.492     0.492     0.000     0.000  4108606   Integer#==
  0.47      0.719     0.476     0.000     0.243  2282551   BasicObject#!=
  0.47      3.525     0.472     0.000     3.053   809884   Optcarrot::CPU#_beq
  0.43      0.689     0.429     0.000     0.260   264600   Optcarrot::APU::Pulse#sample
  0.42      0.425     0.425     0.000     0.000  3267275   Integer#&
  0.38      0.384     0.384     0.000     0.000  3146305   Integer#*
  0.36      5.206     0.362     0.000     4.844       61  *Range#each
  0.36      0.359     0.359     0.000     0.000  2790190   Integer#|
  0.26      0.258     0.258     0.000     0.000  1834938   Integer#>=
  0.16      3.088     0.162     0.000     2.926     3893   Optcarrot::APU#proceed
  0.14      0.743     0.143     0.000     0.600    85006   Optcarrot::CPU#do_clock
  0.11      0.156     0.107     0.000     0.048   132300   Optcarrot::APU::Triangle#sample
  0.10      0.102     0.102     0.000     0.000   675732   Integer#/
  0.10      0.139     0.100     0.000     0.039    99331   Array#hash
  0.10      0.312     0.097     0.000     0.215    84291   Optcarrot::APU#clock_dmc
  0.10      0.533     0.096     0.000     0.436    85006   Optcarrot::APU#do_clock
  0.09      0.087     0.087     0.000     0.000   628169   Integer#>>
  0.08      0.080     0.080     0.000     0.000        4   Array#transpose
  0.07      0.068     0.068     0.000     0.000   453173   Integer#>
  0.07      0.207     0.068     0.000     0.139   199853   Hash#[]
  0.07      0.119     0.067     0.000     0.052   132300   Optcarrot::APU::DMC#sample
  0.06      0.065     0.065     0.000     0.000   498976   Array#[]=
  0.06      0.118     0.063     0.000     0.054     2934   Array#each
  0.06      0.061     0.061     0.000     0.000   408862   Integer#<=
  0.06      0.057     0.057     0.000     0.000   408863   Integer#<<
  0.05      0.079     0.054     0.000     0.025    84291   Optcarrot::APU::DMC#clock_dma
  0.05      0.379     0.052     0.000     0.327   102898   Optcarrot::APU#clock_dma
  0.05      0.051     0.051     0.000     0.000   292312   Array#<<
  0.04      0.041     0.041     0.000     0.000   170668   Optcarrot::CPU#current_clock
  0.04      0.039     0.039     0.000     0.000   333822   Kernel#hash
  0.04      0.099     0.039     0.000     0.061    14929   Optcarrot::CPU#abs_reg
  0.03      0.038     0.035     0.000     0.003    84291   Optcarrot::APU::DMC#clock_dac
  0.03      0.062     0.031     0.000     0.031    32193   Optcarrot::CPU#peek16
  0.03      0.268     0.029     0.000     0.239    45596   Optcarrot::CPU#read_write
  0.03     78.395     0.029     0.000    78.366      180   Optcarrot::PPU#vsync
  0.03      0.329     0.029     0.000     0.300    26115   Optcarrot::CPU#abs
  0.03      0.028     0.028     0.000     0.000   181018   Integer#even?
  0.03      0.027     0.027     0.000     0.000   164717   Integer#-@
  0.03      0.026     0.026     0.000     0.000    95232   Array#eql?
  0.02      0.025     0.025     0.000     0.000   195002   Array#length
  0.02      0.936     0.023     0.000     0.912    22471   Optcarrot::CPU#w_op
  0.02      0.035     0.017     0.000     0.018    20314   Optcarrot::CPU#imm
  0.02      0.459     0.017     0.000     0.442     4426   Optcarrot::PPU#poke_2007
  0.01      0.031     0.012     0.000     0.019     4552   Optcarrot::CPU#ind_y
  0.01      0.080     0.012     0.000     0.068    18387   Optcarrot::CPU#_bne
  0.01      0.024     0.012     0.000     0.012     5452   Optcarrot::PPU#make_sure_invariants
  0.01      0.815     0.011     0.000     0.804    17038   Optcarrot::CPU#store_mem
  0.01      0.018     0.010     0.000     0.008     6230   Optcarrot::CPU#_adc
  0.01      1.007     0.010     0.000     0.997    26950   Method#[]
  0.01      0.021     0.009     0.000     0.012    17892   Optcarrot::CPU#update
  0.01      0.201     0.009     0.000     0.192     6509   Optcarrot::PPU#peek_2002
  0.01      0.599     0.009     0.000     0.590    13327   Optcarrot::PPU#update
  0.01      0.802     0.009     0.000     0.794    17465   Optcarrot::CPU#store
  0.01      0.573     0.008     0.000     0.565    13327   Optcarrot::PPU#sync
  0.01     78.887     0.008     0.000    78.879     5452   Optcarrot::PPU#run
  0.01      0.014     0.008     0.000     0.006    10273   Optcarrot::CPU#push8
  0.01      0.014     0.008     0.000     0.006    10269   Optcarrot::CPU#pull8
  0.01      0.042     0.007     0.000     0.035     6392   Optcarrot::CPU#rw_op
  0.01      0.007     0.007     0.000     0.000    25593   Optcarrot::CPU#_lda
  0.01      0.106     0.006     0.000     0.099    14929   Optcarrot::CPU#abs_x
  0.01      0.013     0.006     0.000     0.007     6508   Optcarrot::CPU#_bit
  0.01      0.006     0.006     0.000     0.000    21705   Optcarrot::CPU#_sta
  0.01      0.013     0.006     0.000     0.008     4426   Optcarrot::PPU#update_vram_addr
  0.01      0.037     0.006     0.000     0.031     9421   Optcarrot::CPU#_bpl
  0.01     78.852     0.005    78.847     0.000     5452   Fiber#resume
  0.01      0.008     0.005     0.000     0.003     7346   Optcarrot::CPU#_dex
  0.00      0.009     0.005     0.000     0.004     2976   Optcarrot::CPU#zpg_reg
  0.00      0.006     0.005     0.000     0.002    11825   Optcarrot::CPU#store_zpg
  0.00      0.028     0.005     0.000     0.023     3799   Optcarrot::CPU#_jsr
  0.00      0.023     0.004     0.000     0.018     2260   Optcarrot::PPU#poke_2006
  0.00      0.005     0.004     0.000     0.001     7998   Optcarrot::CPU#_clc
  0.00      0.007     0.004     0.000     0.003     5556   Optcarrot::PPU#update_scroll_address_line
  0.00      0.006     0.004     0.000     0.002     5427   Optcarrot::CPU#_iny
  0.00      0.264     0.004     0.000     0.260     3713   Optcarrot::APU#update
  0.00      0.016     0.004     0.000     0.012     3976   Optcarrot::CPU#push16
  0.00      0.005     0.004     0.000     0.001     4310   Optcarrot::APU::Oscillator#active?
  0.00      0.006     0.004     0.000     0.002       16   Numeric#step
  0.00      0.019     0.003     0.000     0.015     3797   Optcarrot::CPU#_rts
  0.00      0.015     0.003     0.000     0.012     3974   Optcarrot::CPU#pull16
  0.00      0.006     0.003     0.000     0.003     2151   Optcarrot::APU::Envelope#clock
  0.00      0.012     0.003     0.000     0.009     2976   Optcarrot::Pads#peek_401x
  0.00      0.003     0.003     0.000     0.000      543   Array#clear
  0.00      0.003     0.003     0.000     0.000        1   Array#pack
  0.00      0.004     0.003     0.000     0.002     2976   Optcarrot::CPU#_ror
  0.00      0.012     0.003     0.000     0.009     2151   Optcarrot::APU::Oscillator#clock_envelope
  0.00      0.004     0.002     0.000     0.001     3379   Optcarrot::CPU#_dey
  0.00     95.201     0.002     0.000    95.199      180   Optcarrot::NES#step
  0.00      0.019     0.002     0.000     0.017      717   Optcarrot::APU#clock_oscillators
  0.00      0.003     0.002     0.000     0.001     2976   Optcarrot::Pad#peek
  0.00      0.002     0.002     0.000     0.000    14044   Integer#^
  0.00      0.003     0.002     0.000     0.001     4700   Optcarrot::CPU#_and
  0.00      0.004     0.002     0.000     0.002     1488   Optcarrot::Pad#poke
  0.00      0.006     0.002     0.000     0.005     2101   Optcarrot::CPU#_jmp_a
  0.00      0.005     0.001     0.000     0.003     2144   Optcarrot::CPU#_pla
  0.00      0.002     0.001     0.000     0.001     3861   Optcarrot::CPU#_ora
  0.00      0.005     0.001     0.000     0.003     2144   Optcarrot::CPU#_pha
  0.00      0.002     0.001     0.000     0.001     2017   Optcarrot::CPU#_inx
  0.00      0.002     0.001     0.000     0.000     2604   Optcarrot::CPU#_tax
  0.00      0.021     0.001     0.000     0.020      717   Optcarrot::APU#clock_frame_counter
  0.00      0.002     0.001     0.000     0.000     2535   Optcarrot::CPU#_txa
  0.00      0.002     0.001     0.000     0.001     2667   Optcarrot::CPU#_dec
  0.00      0.011     0.001     0.000     0.009     2976   Optcarrot::CPU#zpg_x
  0.00      0.002     0.001     0.000     0.000     1024   Array#uniq!
  0.00      0.004     0.001     0.000     0.003     2160   Optcarrot::APU::Pulse#active?
  0.00      2.839     0.001     0.000     2.838      180   Optcarrot::APU#flush_sound
  0.00      2.841     0.001     0.000     2.840      180   Optcarrot::APU#vsync
  0.00      0.008     0.001     0.000     0.007      522   Optcarrot::APU::Oscillator#poke_2
  0.00      0.184     0.001     0.000     0.183      700   Optcarrot::APU::Oscillator#poke_0
  0.00      0.003     0.001     0.000     0.002      717   Optcarrot::APU::Triangle#clock_linear_counter
  0.00      4.535     0.001     0.000     4.534       17  *Array#map
  0.00      0.001     0.001     0.000     0.000     6407   Integer#~
  0.00      0.003     0.001     0.000     0.002     1248   Optcarrot::APU::Triangle#active?
  0.00      0.001     0.001     0.000     0.000     1567   Optcarrot::CPU#_tya
  0.00      0.001     0.001     0.000     0.000     4393   BasicObject#!
  0.00      0.081     0.001     0.000     0.080      126   Optcarrot::PPU#poke_2000
  0.00      0.001     0.001     0.000     0.000     1992   Optcarrot::APU::Envelope#update_output
  0.00      0.001     0.001     0.000     0.000      744   Optcarrot::Pad#poll_state
  0.00      0.004     0.001     0.000     0.004      177   Optcarrot::CPU#do_isr
  0.00      0.005     0.001     0.000     0.004      744   Optcarrot::Pads#poke_4016
  0.00      0.001     0.001     0.000     0.001      716   Optcarrot::APU::Pulse#clock_sweep
  0.00      0.002     0.001     0.000     0.001      180   Optcarrot::Video#tick
  0.00      0.002     0.001     0.000     0.001      525   Optcarrot::APU::Envelope#write
  0.00      0.002     0.001     0.000     0.001      633   Optcarrot::CPU#a_op
  0.00      0.001     0.001     0.000     0.000     1947   Optcarrot::APU::DMC#update
  0.00      0.002     0.001     0.000     0.001      296   Optcarrot::APU#clock_frame_irq
  0.00      0.001     0.001     0.000     0.000     1411   Optcarrot::CPU#_tay
  0.00      0.001     0.001     0.000     0.000     2517   Optcarrot::CPU#_ldy
  0.00      0.003     0.001     0.000     0.002      177   Optcarrot::CPU#_rti
  0.00      0.002     0.001     0.000     0.001      354   Optcarrot::APU::Pulse#update_freq
  0.00      0.004     0.001     0.000     0.004      179   Optcarrot::APU::Oscillator#poke_3
  0.00      0.026     0.001     0.000     0.025     1107   Hash#[]=
  0.00      0.003     0.001     0.000     0.003      180   Optcarrot::PPU#setup_frame
  0.00      0.002     0.001     0.000     0.002      746   Optcarrot::CPU#_bmi
  0.00      0.180     0.001     0.000     0.180      525   Optcarrot::APU#update_latency
  0.00      0.001     0.001     0.000     0.000      633   Optcarrot::CPU#_asl
  0.00      0.001     0.001     0.000     0.000        2   String#bytes
  0.00      0.001     0.001     0.000     0.001      177   Optcarrot::CPU#flags_pack
  0.00      0.182     0.000     0.000     0.181      350   Optcarrot::APU::Pulse#poke_0
  0.00      0.001     0.000     0.000     0.000      180   Optcarrot::CPU#vsync
  0.00      0.001     0.000     0.000     0.000      749   Optcarrot::CPU#_inc
  0.00      0.001     0.000     0.000     0.000      177   Optcarrot::CPU#flags_unpack
  0.00      0.000     0.000     0.000     0.000      180   Array#concat
  0.00      0.001     0.000     0.000     0.001      243   Optcarrot::APU::DMC#do_dma
  0.00      0.004     0.000     0.000     0.003      175   Optcarrot::APU::Triangle#poke_0
  0.00      0.001     0.000     0.000     0.000      772   Optcarrot::CPU#_eor
  0.00      0.001     0.000     0.000     0.001      348   Optcarrot::APU::Triangle#update_freq
  0.00      0.000     0.000     0.000     0.000     1087   Optcarrot::CPU#_ldx
  0.00      0.000     0.000     0.000     0.000     3072   Kernel#object_id
  0.00      0.002     0.000     0.000     0.002      174   Optcarrot::APU::Noise#poke_2
  0.00      0.002     0.000     0.000     0.002      179   Optcarrot::APU#update_delta
  0.00      0.000     0.000     0.000     0.000      180   <Module::Process>#clock_gettime
  0.00      0.000     0.000     0.000     0.000      296   Optcarrot::CPU#do_irq
  0.00      0.003     0.000     0.000     0.003       11   Hash#each_value
  0.00      0.000     0.000     0.000     0.000      358   Optcarrot::APU::Noise#clock_length_counter
  0.00      0.000     0.000     0.000     0.000      256   Optcarrot::CPU#_cpy
  0.00      0.000     0.000     0.000     0.000      756   Optcarrot::CPU#_sty
  0.00      0.001     0.000     0.000     0.000      243   Optcarrot::CPU#dmc_dma
  0.00      4.556     0.000     0.000     4.556       16  *Kernel#require_relative
  0.00      0.000     0.000     0.000     0.000      358   Optcarrot::APU::Triangle#clock_length_counter
  0.00      0.000     0.000     0.000     0.000      180   Optcarrot::CPU#next_frame_clock=
  0.00      0.000     0.000     0.000     0.000     1536   Array#min
  0.00      0.000     0.000     0.000     0.000     1056   Symbol#==
  0.00      0.000     0.000     0.000     0.000        4   Array#slice!
  0.00      0.000     0.000     0.000     0.000     1536   Float#floor
  0.00      0.001     0.000     0.000     0.001      210   Optcarrot::CPU#_bcc
  0.00      0.000     0.000     0.000     0.000      179   Float#**
  0.00      0.004     0.000     0.000     0.004      174   Optcarrot::APU::Triangle#poke_3
