C02RP0G1G8WM:optcarrot noah.gibbs$ RUBYOPT="-Ilib -r./tools/shim" ruby-prof bin/optcarrot -- --benchmark examples/Lan_Master.nes
fps: 1.8826884288589154
checksum: 59662
Measure Mode: wall_time
Thread ID: 70260397141660
Fiber ID: 70260398372420
Total: 98.717310
Sort by: self_time

 %self      total      self      wait     child     calls  name
  2.37     13.786     2.336     0.000    11.451      180   Optcarrot::CPU#run
  1.47      2.429     1.449     0.000     0.980  3515380  *Optcarrot::CPU#fetch
  1.42      1.404     1.404     0.000     0.000 10680452   Integer#+
  1.41      2.903     1.392     0.000     1.512   838868   Optcarrot::CPU#branch
  1.32      1.302     1.302     0.000     0.000 11084918   Array#[]
  1.01      1.793     0.999     0.000     0.794   816063   Optcarrot::CPU#zpg
  0.87      0.861     0.861     0.000     0.000  6881030   Integer#[]
  0.83      0.820     0.820     0.000     0.000  6727776   Integer#-
  0.69      1.146     0.684     0.000     0.462   804536   Optcarrot::CPU#_cmp
  0.64      0.636     0.636     0.000     0.000  4602226   Integer#<
  0.61      3.991     0.607     0.000     3.384   856086   Optcarrot::CPU#r_op
  0.55      2.775     0.542     0.000     2.233   132300   Optcarrot::APU::Mixer#sample
  0.52      0.890     0.515     0.000     0.374   132300   Optcarrot::APU::Noise#sample
  0.49      0.487     0.487     0.000     0.000  4108606   Integer#==
  0.48      0.719     0.474     0.000     0.244  2282551   BasicObject#!=
  0.46      3.453     0.449     0.000     3.003   809884   Optcarrot::CPU#_beq
  0.44      0.686     0.432     0.000     0.255   264600   Optcarrot::APU::Pulse#sample
  0.43      0.425     0.425     0.000     0.000  3267275   Integer#&
  0.39      0.387     0.387     0.000     0.000  3146305   Integer#*
  0.37      5.249     0.363     0.000     4.886       61  *Range#each
  0.36      0.354     0.354     0.000     0.000  2790190   Integer#|
  0.26      0.254     0.254     0.000     0.000  1834938   Integer#>=
  0.17      3.092     0.163     0.000     2.928     3893   Optcarrot::APU#proceed
  0.15      0.736     0.145     0.000     0.591    85006   Optcarrot::CPU#do_clock
  0.11      0.160     0.111     0.000     0.049   132300   Optcarrot::APU::Triangle#sample
  0.11      0.145     0.106     0.000     0.039    99331   Array#hash
  0.10      0.102     0.102     0.000     0.000   675732   Integer#/
  0.10      0.305     0.097     0.000     0.208    84291   Optcarrot::APU#clock_dmc
  0.10      0.523     0.095     0.000     0.428    85006   Optcarrot::APU#do_clock
  0.09      0.088     0.088     0.000     0.000   628169   Integer#>>
  0.08      0.084     0.084     0.000     0.000        4   Array#transpose
  0.07      0.215     0.070     0.000     0.145   199853   Hash#[]
  0.07      0.119     0.067     0.000     0.052   132300   Optcarrot::APU::DMC#sample
  0.07      0.067     0.067     0.000     0.000   453173   Integer#>
  0.06      0.064     0.064     0.000     0.000   498976   Array#[]=
  0.06      0.117     0.064     0.000     0.053     2934   Array#each
  0.06      0.061     0.061     0.000     0.000   408862   Integer#<=
  0.06      0.059     0.059     0.000     0.000   408863   Integer#<<
  0.05      0.051     0.051     0.000     0.000   292312   Array#<<
  0.05      0.074     0.050     0.000     0.024    84291   Optcarrot::APU::DMC#clock_dma
  0.05      0.370     0.050     0.000     0.320   102898   Optcarrot::APU#clock_dma
