 %self      total      self      wait     child     calls  name
 17.82    288.246    63.766     0.000   224.480    86278   Numeric#step
 12.41     65.800    44.388     0.000    21.412 10997760   Optcarrot::PPU#render_pixel
  8.32     43.204    29.768     0.000    13.436 13234902   Optcarrot::PPU#wait_one_clock
  4.37     15.649    15.649     0.000     0.000 33197881   Array#[]
  3.68     19.403    13.167     0.000     6.236  2679680   Optcarrot::PPU#evaluate_sprites_odd_phase_1
  3.63     12.972    12.972     0.000     0.000 28029482   Integer#+
  2.97     34.300    10.644     0.000    23.656  4019592   Optcarrot::PPU#evaluate_sprites_odd
  2.25     11.458     8.057     0.000     3.402  3545240   Optcarrot::PPU#open_pattern
  2.15      7.706     7.706     0.000     0.000 16675332   Integer#<=
  2.11      9.442     7.539     0.000     1.903  4019591   Optcarrot::PPU#evaluate_sprites_even
  1.93      6.898     6.898     0.000     0.000  7147593   Optcarrot::PPU#update_address_line
  1.57      5.633     5.633     0.000     0.000 11864340   Integer#==
  1.57      8.995     5.629     0.000     3.367  1776976   Optcarrot::PPU#open_attr
  1.52      5.444     5.444     0.000     0.000 10997760   Array#<<
  1.49      5.341     5.341     0.000     0.000 10997760   Integer#%
  1.46      5.223     5.223     0.000     0.000 11053831   Integer#>=
  1.44      7.185     5.145     0.000     2.040  1426136   Optcarrot::PPU#scroll_clock_x
  1.26      7.227     4.501     0.000     2.727  1426136   Optcarrot::PPU#fetch_bg_pattern_1
  1.20      6.357     4.280     0.000     2.076  1339857   Optcarrot::PPU#load_tiles
  1.19      6.045     4.270     0.000     1.775  1863253   Optcarrot::PPU#open_name
  1.07      5.828     3.830     0.000     1.998  1426136   Optcarrot::PPU#fetch_name
  0.90      4.579     3.238     0.000     1.342  1426136   Optcarrot::PPU#fetch_bg_pattern_0
  0.84      3.021     3.021     0.000     0.000  1297987   Optcarrot::PPU#update_enabled_flags
  0.67      3.629     2.381     0.000     1.247  1339840   Optcarrot::PPU#evaluate_sprites_odd_phase_9
  0.63      2.245     2.245     0.000     0.000  4770719   Integer#&
  0.63    357.787     2.238     0.000   355.549        1   Optcarrot::PPU#main_loop
  0.56      1.994     1.994     0.000     0.000  1426136   Optcarrot::PPU#fetch_attr
  0.47      1.679     1.679     0.000     0.000  3410627   Integer#|
  0.42      2.228     1.510     0.000     0.718   672861   Optcarrot::PPU#wait_two_clocks
  0.37      2.046     1.338     0.000     0.708  1466738   BasicObject#!=
  0.30      1.085     1.085     0.000     0.000  2136016   Integer#<
  0.25      0.883     0.883     0.000     0.000  1660799   Array#[]=
  0.20      0.727     0.727     0.000     0.000  1339857   Optcarrot::PPU#batch_render_eight_pixels
  0.20      0.717     0.717     0.000     0.000  1339857   Array#rotate!
  0.20      0.701     0.701     0.000     0.000  1423948   Integer#*
  0.14      0.501     0.501     0.000     0.000  1005082   Integer#/
  0.14      0.497     0.497     0.000     0.000  1047993   Integer#-
  0.06      0.396     0.225     0.000     0.171    41871   Optcarrot::PPU#scroll_clock_y
  0.06      0.369     0.225     0.000     0.145    42960   Optcarrot::PPU#scroll_reset_x
  0.03      0.143     0.099     0.000     0.044    43139   Optcarrot::PPU#preload_tiles
  0.02      0.083     0.083     0.000     0.000    43135   Optcarrot::PPU#update_enabled_flags_edge
  0.02      0.104     0.082     0.000     0.022    43139   Optcarrot::PPU#load_extended_sprites
  0.02      0.099     0.065     0.000     0.034    44929   Optcarrot::PPU#wait_zero_clocks
  0.01      0.045     0.045     0.000     0.000    83914   Integer#^
  0.00     62.352     0.003    62.349     0.000     5452   <Class::Fiber>#yield
  0.00      0.003     0.001     0.000     0.002      179   Optcarrot::PPU#vblank_2
  0.00      0.001     0.001     0.000     0.000      178   Optcarrot::CPU#next_interrupt_clock
  0.00      0.001     0.001     0.000     0.000      179   Optcarrot::PPU#vblank_1
  0.00      0.002     0.000     0.000     0.001      178   Optcarrot::CPU#do_nmi
  0.00     61.011     0.000     0.000    61.010      180   Optcarrot::PPU#wait_frame
  0.00      0.000     0.000     0.000     0.000      179   Optcarrot::PPU#vblank_0
  0.00      0.000     0.000     0.000     0.000      504   Integer#===
  0.00      0.000     0.000     0.000     0.000      178   Optcarrot::CPU#next_frame_clock
  0.00      0.000     0.000     0.000     0.000       87   Optcarrot::CPU#next_frame_clock=
  0.00      0.000     0.000     0.000     0.000      174   BasicObject#!
  0.00      0.000     0.000     0.000     0.000      178   Integer#>
  0.00      0.000     0.000     0.000     0.000        1   Optcarrot::PPU#boot
  0.00    357.787     0.000     0.000   357.787        1   Optcarrot::PPU#run
