ubuntu@ip-172-31-12-111:~/optcarrot$ RUBYOPT="-Ilib -r./tools/shim" ruby-prof bin/optcarrot -- --benchmark examples/Lan_Master.nes
fps: 0.49605795825480586
checksum: 59662
Abstract: setup_options
Abstract: print_threads
Threads [2]
Thread...
Print_thread
Measure Mode: wall_time
Thread ID: 7051680
Fiber ID: 11438140
Total: 381.340411
Sort by: self_time

 %self      total      self      wait     child     calls  name
  2.38     53.857     9.088     0.000    44.769      180   Optcarrot::CPU#run
  1.62     10.211     6.189     0.000     4.022  3515380  *Optcarrot::CPU#fetch
  1.54     11.731     5.887     0.000     5.844   838868   Optcarrot::CPU#branch
  1.35      5.139     5.139     0.000     0.000 11084918   Array#[]
  1.34      5.093     5.093     0.000     0.000 10680452   Integer#+
  1.06      7.347     4.023     0.000     3.323   816063   Optcarrot::CPU#zpg
  0.88      3.338     3.338     0.000     0.000  6881030   Integer#[]
  0.84      3.188     3.188     0.000     0.000  6727776   Integer#-
  0.74      4.366     2.824     0.000     1.542   804536   Optcarrot::CPU#_cmp
  0.58      2.209     2.209     0.000     0.000  4602226   Integer#<
  0.56      3.375     2.117     0.000     1.258   132300   Optcarrot::APU::Noise#sample
  0.55     10.330     2.091     0.000     8.239   132300   Optcarrot::APU::Mixer#sample
  0.55     15.512     2.082     0.000    13.431   856086   Optcarrot::CPU#r_op
  0.53      3.067     2.023     0.000     1.044  2282551   BasicObject#!=
  0.50      1.920     1.920     0.000     0.000  4108606   Integer#==
  0.48     13.972     1.844     0.000    12.129   809884   Optcarrot::CPU#_beq
  0.45      2.562     1.702     0.000     0.859   264600   Optcarrot::APU::Pulse#sample
  0.41     21.690     1.548     0.000    20.142       61  *Range#each
  0.40      1.543     1.543     0.000     0.000  3267275   Integer#&
  0.40      1.506     1.506     0.000     0.000  3146305   Integer#*
  0.35      1.318     1.318     0.000     0.000  2790190   Integer#|
  0.23      0.891     0.891     0.000     0.000  1843138   Integer#>=
  0.17     11.488     0.656     0.000    10.831     3893   Optcarrot::APU#proceed
  0.14      2.659     0.534     0.000     2.125    85006   Optcarrot::CPU#do_clock
  0.11      0.567     0.409     0.000     0.158   132300   Optcarrot::APU::Triangle#sample
  0.09      1.118     0.360     0.000     0.758    84291   Optcarrot::APU#clock_dmc
  0.09      1.909     0.356     0.000     1.553    85006   Optcarrot::APU#do_clock
  0.09      0.339     0.339     0.000     0.000   675732   Integer#/
  0.08      0.306     0.306     0.000     0.000   628169   Integer#>>
  0.08      0.451     0.292     0.000     0.159    99334   Array#hash
  0.07      0.441     0.252     0.000     0.189   132300   Optcarrot::APU::DMC#sample
  0.06      0.458     0.246     0.000     0.212     2934   Array#each
  0.06      0.234     0.234     0.000     0.000   498976   Array#[]=
  0.06      0.670     0.230     0.000     0.440   199853   Hash#[]
  0.06      0.222     0.222     0.000     0.000   453173   Integer#>
  0.05      0.202     0.202     0.000     0.000   408862   Integer#<=
  0.05      0.198     0.198     0.000     0.000   408863   Integer#<<
  0.05      0.278     0.197     0.000     0.082    84291   Optcarrot::APU::DMC#clock_dma
  0.05      1.351     0.183     0.000     1.168   102898   Optcarrot::APU#clock_dma
  0.04      0.159     0.159     0.000     0.000   335874   Kernel#hash
  0.04      0.158     0.158     0.000     0.000   170668   Optcarrot::CPU#current_clock
  0.04      0.151     0.151     0.000     0.000   292312   Array#<<
  0.04      0.387     0.151     0.000     0.236    14929   Optcarrot::CPU#abs_reg
  0.04      0.261     0.140     0.000     0.120    32193   Optcarrot::CPU#peek16
  0.03    294.839     0.132     0.000   294.707      180   Optcarrot::PPU#vsync
  0.03      0.138     0.128     0.000     0.009    84291   Optcarrot::APU::DMC#clock_dac
  0.03      1.031     0.110     0.000     0.922    45596   Optcarrot::CPU#read_write
  0.03      1.281     0.108     0.000     1.173    26115   Optcarrot::CPU#abs
  0.03      0.097     0.097     0.000     0.000   195002   Array#length
  0.02      0.089     0.089     0.000     0.000   181018   Integer#even?
  0.02      0.083     0.083     0.000     0.000   164717   Integer#-@
  0.02      0.081     0.081     0.000     0.000        4   Array#transpose
  0.02      3.457     0.077     0.000     3.380    22471   Optcarrot::CPU#w_op
  0.02      0.070     0.070     0.000     0.000    95232   Array#eql?
  0.02      0.137     0.064     0.000     0.073    20314   Optcarrot::CPU#imm
  0.02      1.717     0.059     0.000     1.657     4426   Optcarrot::PPU#poke_2007
  0.01      0.119     0.048     0.000     0.072     4552   Optcarrot::CPU#ind_y
  0.01      0.086     0.045     0.000     0.040     5452   Optcarrot::PPU#make_sure_invariants
  0.01      0.314     0.043     0.000     0.271    18387   Optcarrot::CPU#_bne
  0.01      3.002     0.040     0.000     2.962    17038   Optcarrot::CPU#store_mem
  0.01      0.066     0.039     0.000     0.027     6230   Optcarrot::CPU#_adc
  0.01      0.780     0.036     0.000     0.744     6509   Optcarrot::PPU#peek_2002
  0.01      0.075     0.034     0.000     0.041    17892   Optcarrot::CPU#update
  0.01      2.956     0.032     0.000     2.924    17465   Optcarrot::CPU#store
  0.01      0.051     0.032     0.000     0.020    10273   Optcarrot::CPU#push8
  0.01      0.051     0.032     0.000     0.019    10269   Optcarrot::CPU#pull8
  0.01      2.283     0.032     0.000     2.252    13327   Optcarrot::PPU#update
  0.01      2.192     0.031     0.000     2.161    13327   Optcarrot::PPU#sync
  0.01      3.747     0.028     0.000     3.718    26950   Method#[]
  0.01    296.708     0.028     0.000   296.680     5452   Optcarrot::PPU#run
  0.01      0.050     0.026     0.000     0.025     6508   Optcarrot::CPU#_bit
  0.01      0.025     0.025     0.000     0.000    25593   Optcarrot::CPU#_lda
  0.01      0.146     0.022     0.000     0.124     6392   Optcarrot::CPU#rw_op
  0.01      0.148     0.022     0.000     0.126     9421   Optcarrot::CPU#_bpl
  0.01      0.037     0.022     0.000     0.016        8   Enumerator::ArithmeticSequence#each
  0.01      0.408     0.021     0.000     0.387    14929   Optcarrot::CPU#abs_x
  0.01      0.021     0.021     0.000     0.000    21705   Optcarrot::CPU#_sta
  0.01      0.030     0.020     0.000     0.010     7346   Optcarrot::CPU#_dex
  0.00      0.044     0.019     0.000     0.025     4426   Optcarrot::PPU#update_vram_addr
  0.00      0.035     0.019     0.000     0.016     2976   Optcarrot::CPU#zpg_reg
  0.00     18.875     0.018     0.000    18.856       17  *Array#map
  0.00      0.023     0.017     0.000     0.006    11825   Optcarrot::CPU#store_zpg
  0.00      0.104     0.016     0.000     0.088     3799   Optcarrot::CPU#_jsr
  0.00      0.023     0.015     0.000     0.008     5556   Optcarrot::PPU#update_scroll_address_line
  0.00      0.023     0.015     0.000     0.008     5427   Optcarrot::CPU#_iny
  0.00      0.082     0.015     0.000     0.067     2260   Optcarrot::PPU#poke_2006
  0.00      0.019     0.015     0.000     0.004     7998   Optcarrot::CPU#_clc
  0.00      0.056     0.013     0.000     0.044     3976   Optcarrot::CPU#push16
  0.00      0.070     0.012     0.000     0.057     3797   Optcarrot::CPU#_rts
  0.00      0.939     0.012     0.000     0.927     3713   Optcarrot::APU#update
  0.00      0.054     0.011     0.000     0.043     3974   Optcarrot::CPU#pull16
  0.00      0.014     0.011     0.000     0.003     4310   Optcarrot::APU::Oscillator#active?
  0.00      0.041     0.011     0.000     0.030     2976   Optcarrot::Pads#peek_401x
  0.00      0.016     0.011     0.000     0.006     2976   Optcarrot::CPU#_ror
  0.00      0.019     0.010     0.000     0.010     2151   Optcarrot::APU::Envelope#clock
  0.00      0.014     0.009     0.000     0.005     3379   Optcarrot::CPU#_dey
  0.00      0.011     0.008     0.000     0.003     2976   Optcarrot::Pad#peek
  0.00      0.009     0.007     0.000     0.002     4700   Optcarrot::CPU#_and
  0.00      0.007     0.007     0.000     0.000    14044   Integer#^
  0.00      0.035     0.006     0.000     0.029     2151   Optcarrot::APU::Oscillator#clock_envelope
  0.00      0.007     0.006     0.000     0.002     3861   Optcarrot::CPU#_ora
  0.00      0.008     0.006     0.000     0.003     2017   Optcarrot::CPU#_inx
  0.00      0.013     0.006     0.000     0.007     1488   Optcarrot::Pad#poke
  0.00      0.017     0.005     0.000     0.012     2144   Optcarrot::CPU#_pla
  0.00      0.017     0.005     0.000     0.012     2144   Optcarrot::CPU#_pha
  0.00      0.006     0.005     0.000     0.001     2604   Optcarrot::CPU#_tax
  0.00      0.052     0.005     0.000     0.047      717   Optcarrot::APU#clock_oscillators
  0.00      0.023     0.005     0.000     0.018     2101   Optcarrot::CPU#_jmp_a
  0.00      0.008     0.005     0.000     0.003     2667   Optcarrot::CPU#_dec
  0.00      0.006     0.005     0.000     0.001     2535   Optcarrot::CPU#_txa
  0.00      0.040     0.004     0.000     0.035     2976   Optcarrot::CPU#zpg_x
  0.00      0.004     0.004     0.000     0.000     8200   Integer#coerce
  0.00      0.059     0.004     0.000     0.055      717   Optcarrot::APU#clock_frame_counter
  0.00    296.586     0.004   296.582     0.000     5452   Fiber#resume
  0.00      0.005     0.004     0.000     0.001     1024   Array#uniq!
  0.00      0.011     0.003     0.000     0.008     2160   Optcarrot::APU::Pulse#active?
  0.00      0.003     0.003     0.000     0.000     6407   Integer#~
  0.00      0.004     0.003     0.000     0.001     1567   Optcarrot::CPU#_tya
  0.00      0.004     0.003     0.000     0.001      744   Optcarrot::Pad#poll_state
  0.00      0.003     0.003     0.000     0.000        1   Array#pack
  0.00      0.004     0.003     0.000     0.001     1992   Optcarrot::APU::Envelope#update_output
  0.00      0.024     0.003     0.000     0.021      522   Optcarrot::APU::Oscillator#poke_2
  0.00     10.593     0.003     0.000    10.591      180   Optcarrot::APU#flush_sound
  0.00      0.004     0.003     0.000     0.001     1947   Optcarrot::APU::DMC#update
  0.00      0.003     0.003     0.000     0.001     1411   Optcarrot::CPU#_tay
  0.00      0.005     0.003     0.000     0.002      525   Optcarrot::APU::Envelope#write
  0.00    359.304     0.003     0.000   359.301      180   Optcarrot::NES#step
  0.00      0.008     0.003     0.000     0.006     1248   Optcarrot::APU::Triangle#active?
  0.00      0.016     0.003     0.000     0.013      744   Optcarrot::Pads#poke_4016
  0.00      0.003     0.003     0.000     0.000     2517   Optcarrot::CPU#_ldy
  0.00      0.005     0.003     0.000     0.003      296   Optcarrot::APU#clock_frame_irq
  0.00      0.008     0.003     0.000     0.005      717   Optcarrot::APU::Triangle#clock_linear_counter
  0.00      0.657     0.002     0.000     0.654      700   Optcarrot::APU::Oscillator#poke_0
  0.00      0.002     0.002     0.000     0.000     4393   BasicObject#!
  0.00      0.005     0.002     0.000     0.003      633   Optcarrot::CPU#a_op
  0.00      0.004     0.002     0.000     0.001      716   Optcarrot::APU::Pulse#clock_sweep
  0.00      0.317     0.002     0.000     0.315      126   Optcarrot::PPU#poke_2000
  0.00      0.005     0.002     0.000     0.003      354   Optcarrot::APU::Pulse#update_freq
  0.00      0.008     0.002     0.000     0.006      746   Optcarrot::CPU#_bmi
  0.00     10.598     0.002     0.000    10.596      180   Optcarrot::APU#vsync
  0.00      0.003     0.002     0.000     0.001      633   Optcarrot::CPU#_asl
  0.00      0.003     0.002     0.000     0.002      180   Optcarrot::Video#tick
  0.00      0.012     0.002     0.000     0.011      179   Optcarrot::APU::Oscillator#poke_3
  0.00      0.083     0.002     0.000     0.081     1107   Hash#[]=
  0.00      0.002     0.001     0.000     0.001      749   Optcarrot::CPU#_inc
  0.00      0.001     0.001     0.000     0.000     3072   Kernel#object_id
  0.00      0.004     0.001     0.000     0.002      243   Optcarrot::APU::DMC#do_dma
